Designator,Mid X,Mid Y,Rotation,Layer
R1912,73.575,-57.075,0.0,bottom
R2001,16.2125,-24.75,270.0,bottom
R2004,13.0,-13.75,270.0,top
R2005,17.75,-20.25,0.0,top
R2006,23.7125,-26.25,270.0,top
R2008,20.2125,-45.75,90.0,bottom
R201,44.5,-65.25,180.0,top
R202,47.75,-65.25,0.0,top
R203,75.0,-65.25,180.0,top
R204,42.5,-69.75,270.0,top
R205,47.0,-81.25,0.0,top
R206,56.25,-78.25,0.0,top
R207,46.0,-87.0,270.0,top
R208,48.5,-83.5,0.0,top
R209,63.5,-79.75,270.0,top
R210,65.5,-52.25,90.0,top
R211,51.0,-88.5,0.0,top
R212,61.75,-54.25,90.0,top
R213,59.0,-79.75,90.0,top
R214,54.5,-87.0,0.0,top
R215,62.25,-64.25,0.0,bottom
R216,50.0,-75.75,180.0,top
R217,60.5,-79.75,270.0,top
R218,62.0,-79.75,270.0,top
R219,46.0,-62.75,180.0,top
R2301,41.0,-77.25,90.0,bottom
R2302,33.75,-72.5,270.0,bottom
R2303,33.75,-76.0,90.0,bottom
R2304,35.25,-74.5,270.0,bottom
R2305,36.75,-72.5,270.0,bottom
R2306,36.75,-76.0,90.0,bottom
R2307,38.75,-60.25,0.0,bottom
R2308,38.75,-61.75,180.0,bottom
R2310,44.25,-64.5,0.0,bottom
R301,215.6,-63.925,270.0,top
R302,194.0,-70.0,270.0,top
R303,182.5,-70.0,270.0,top
R304,193.25,-44.5,0.0,top
R305,193.25,-62.75,0.0,top
R306,181.75,-62.75,0.0,top
R307,181.75,-44.5,0.0,top
R308,192.5,-70.0,270.0,top
R309,181.0,-70.0,270.0,top
R310,210.5,-65.25,270.0,top
R311,201.5,-59.0,0.0,top
R312,205.75,-68.0,180.0,top
R313,208.25,-69.5,180.0,top
R401,13.0,-83.58,180.0,bottom
R402,16.0,-83.58,0.0,bottom
R403,28.0,-86.58,270.0,top
R404,34.5,-85.08,270.0,top
R405,33.25,-74.58,90.0,top
R406,16.0,-87.5,90.0,bottom
R407,10.5,-85.0,180.0,bottom
R408,28.75,-84.33,180.0,top
R409,34.75,-74.58,90.0,top
R410,29.5,-86.58,90.0,top
R411,22.75,-79.58,270.0,bottom
R412,22.75,-76.58,90.0,bottom
R413,21.25,-79.08,270.0,bottom
R414,17.25,-76.08,0.0,bottom
R415,21.25,-76.08,90.0,bottom
R416,14.75,-78.58,270.0,bottom
R417,9.75,-77.58,270.0,bottom
R418,8.0,-77.58,90.0,bottom
R419,27.25,-83.58,90.0,bottom
R420,27.25,-80.58,90.0,bottom
R421,32.75,-80.83,270.0,bottom
R422,32.0,-83.33,0.0,bottom
R501,75.5,-75.03,0.0,bottom
R502,85.5,-77.28,270.0,bottom
R503,86.5,-79.78,0.0,bottom
R601,65.0,-83.28,0.0,bottom
R602,75.0,-85.53,270.0,bottom
R603,76.0,-88.03,0.0,bottom
R801,45.0,-52.0,270.0,bottom
R802,41.75,-46.0,0.0,bottom
